Age,Income,Education,Employment,LoanAmount,CreditScore,Property,Credit
22,20000,Graduate,Unemployed,50000,580,No,0
25,25000,Graduate,Employed,60000,600,No,0
28,30000,Graduate,Employed,80000,620,No,0
30,35000,Postgraduate,Employed,100000,650,Yes,1
32,40000,Postgraduate,Employed,120000,670,Yes,1
35,45000,Postgraduate,Employed,150000,700,Yes,1
38,50000,Graduate,Employed,140000,690,Yes,1
40,55000,Postgraduate,Employed,180000,720,Yes,1
42,60000,Postgraduate,Employed,200000,750,Yes,1
45,65000,Postgraduate,Employed,220000,760,Yes,1
48,70000,Graduate,Employed,250000,780,Yes,1
50,75000,Postgraduate,Employed,270000,800,Yes,1
23,22000,Graduate,Unemployed,50000,570,No,0
27,28000,Graduate,Employed,70000,610,No,0
29,32000,Graduate,Employed,90000,630,No,0
31,38000,Postgraduate,Employed,110000,660,Yes,1
34,42000,Graduate,Employed,130000,680,Yes,1
36,47000,Postgraduate,Employed,160000,710,Yes,1
39,52000,Graduate,Employed,150000,700,Yes,1
41,58000,Postgraduate,Employed,190000,730,Yes,1
44,62000,Postgraduate,Employed,210000,740,Yes,1
46,68000,Graduate,Employed,230000,770,Yes,1
49,72000,Postgraduate,Employed,260000,790,Yes,1
52,80000,Postgraduate,Employed,300000,810,Yes,1
24,24000,Graduate,Unemployed,55000,590,No,0
26,27000,Graduate,Employed,65000,605,No,0
33,39000,Graduate,Employed,100000,640,No,0
37,48000,Postgraduate,Employed,170000,715,Yes,1
43,61000,Graduate,Employed,200000,745,Yes,1
47,69000,Postgraduate,Employed,240000,775,Yes,1
