CustomerID,Age,AnnualIncome,SpendingScore
1,19,15000,39
2,21,15000,81
3,20,16000,6
4,23,16000,77
5,31,17000,40
6,22,18000,76
7,35,18000,6
8,23,19000,94
9,64,20000,3
10,30,20000,72
11,67,25000,14
12,35,25000,99
13,58,27000,15
14,24,28000,77
15,37,29000,13
16,22,30000,79
17,35,30000,35
18,20,32000,66
19,52,33000,29
20,35,33000,98
21,35,34000,35
22,25,35000,73
23,46,36000,5
24,31,37000,73
25,54,38000,14
26,29,38000,82
27,45,40000,32
28,35,40000,61
29,40,42000,31
30,23,43000,87
31,60,43000,4
32,21,44000,73
33,53,46000,4
34,18,48000,92
35,49,50000,13
36,21,51000,81
37,42,52000,17
38,30,54000,73
39,36,54000,26
40,20,55000,75
